category_code_alphabetical,category_code_numerical,video_name_count,category,tiktok_search_prompt,link,MediaInfo_video_length_seconds,MediaInfo_video_length_milliseconds,channel,video_name_count_channel,video_pathway,length_grouping
A,1,soccer_juggling_1,soccer_juggling,football freestyle,https://www.tiktok.com/@isabellapiete/video/7379034325595032875?q=soccer%20juggling%20freestyle&t=1753316164155,15.93,15930,isabellapiete,soccer_juggling_1_isabellapiete,stimuli/tiktok_stim/soccer_juggling/soccer_juggling_1_isabellapiete.mp4,short
A,1,soccer_juggling_10,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@v.vvvv.9/video/7529500135127059717?q=soccer%20freestyle%20tricks&t=1753368396157,26.773,26773,v.vvvv.9,soccer_juggling_10_v.vvvv.9,stimuli/tiktok_stim/soccer_juggling/soccer_juggling_10_v.vvvv.9.mp4,short
A,1,soccer_juggling_11,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@shater_gemade/video/7487980870096260359?q=freestyle%20football&t=1753373810743,25.751,25751,shater_gemade,soccer_juggling_11_shater_gemade,stimuli/tiktok_stim/soccer_juggling/soccer_juggling_11_shater_gemade.mp4,short
A,1,soccer_juggling_12,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@malteczelk/video/7516937811149196566?q=football%20freestyle%20women&t=1753374362977,27.772,27772,malteczelk,soccer_juggling_12_malteczelk,stimuli/tiktok_stim/soccer_juggling/soccer_juggling_12_malteczelk.mp4,short
A,1,soccer_juggling_2,soccer_juggling,soccer freestyle tricks,https://www.tiktok.com/@khfreestyle1/video/7465892544073780526?q=soccer%20juggling%20freestyle&t=1753362723127,13.97,13970,khfreestyle1,soccer_juggling_2_khfreestyle1,stimuli/tiktok_stim/soccer_juggling/soccer_juggling_2_khfreestyle1.mp4,short
A,1,soccer_juggling_3,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@moomar/video/7087219054598966534,14.115,14115,moomar,soccer_juggling_3_moomar,stimuli/tiktok_stim/soccer_juggling/soccer_juggling_3_moomar.mp4,short
A,1,soccer_juggling_4,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@risingballer_11/video/7529945747450514743?q=soccer%20freestyle&t=1753365883944,15.163,15163,risingballer_11,soccer_juggling_4_risingballer_11,stimuli/tiktok_stim/soccer_juggling/soccer_juggling_4_risingballer_11.mp4,short
A,1,soccer_juggling_5,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@maelie_pl/video/7508156894603791647,14.25,14250,maelie_pl,soccer_juggling_5_maelie_pl,stimuli/tiktok_stim/soccer_juggling/soccer_juggling_5_maelie_pl.mp4,short
A,1,soccer_juggling_6,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@alicefreestyleball/video/6976353825040993541,17.273,17273,alicefreestyleball,soccer_juggling_6_alicefreestyleball,stimuli/tiktok_stim/soccer_juggling/soccer_juggling_6_alicefreestyleball.mp4,short
A,1,soccer_juggling_7,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@majkafreestyle/video/7098602029953682693,20.247,20247,majkafreestyle,soccer_juggling_7_majkafreestyle,stimuli/tiktok_stim/soccer_juggling/soccer_juggling_7_majkafreestyle.mp4,short
